2,4,11.22,3
1,6,16.57,3
1,2,12.73,7
2,3,18.73,7
2,5,16.17,3.5
1,6,19.19,3.5
1,5,11.42,2.5
2,4,9.18,2.5
1,1,3.73,4
2,4,14.62,4
1,0,0,0.23
2,1,0.34,0.23
1,3,4.19,1.5
2,4,5.57,1.5
2,3,26.2,10
1,4,33.26,10
2,5,9.09,2
1,4,7.29,2
2,6,26.47,5
1,4,18.37,5
1,2,10.98,6
2,1,5.54,6
1,3,1.41,0.5
2,3,1.41,0.5
1,3,21.31,8
2,4,27.47,8
1,4,30.63,9
2,5,36.5,9
2,3,2.75,1
1,5,4.57,1
2,5,9.09,2
1,5,9.09,2
2,4,33.26,10
1,5,39.35,10
2,4,14.62,4
1,4,14.62,4
2,4,21.21,6
1,2,10.98,6
1,5,11.42,2.5
2,5,11.42,2.5
1,4,24.32,7
2,3,18.73,7
2,4,11.22,3
1,5,13.93,3
1,5,33.02,8
2,3,21.31,8
2,2,16.49,9
1,3,23.94,9
2,2,1.83,1
1,4,3.66,1
1,3,13.98,5
2,5,22.54,5
2,4,13.06,3.5
1,4,13.06,3.5
2,0,0,0.23
1,0,0,0.23
2,4,1.88,0.5
1,4,1.88,0.5
1,5,6.96,1.5
2,3,4.19,1.5
1,5,9.09,2
2,2,3.66,2
1,2,4.62,2.5
2,4,9.18,2.5
2,4,13.06,3.5
1,5,16.17,3.5
2,4,18.37,5
1,5,22.54,5
2,4,33.26,10
1,3,26.2,10
1,3,1.41,0.5
2,4,1.88,0.5
2,0,0,0.23
1,0,0,0.23
1,3,11.07,4
2,1,3.73,4
1,5,6.96,1.5
2,5,6.96,1.5
2,3,23.94,9
1,3,23.94,9
1,3,18.73,7
2,4,24.32,7
2,3,8.46,3
1,3,8.46,3
2,2,1.83,1
1,4,3.66,1
2,4,21.21,6
1,4,21.21,6
1,5,33.02,8
2,4,27.47,8